n01440764 	 freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
n01443537 	 small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
n01484850 	 large aggressive shark widespread in warm seas
n01491361 	 large dangerous warm-water shark with striped or spotted body
n01494475 	 medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head
n01496331 	 any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges
n01498041 	 large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
n01514668 	 adult male bird
n01514859 	 adult female bird
n01518878 	 fast-running African flightless bird with two-toed feet
n01530575 	 Eurasian finch
n01531178 	 small European finch having a crimson face and yellow-and-black wings
n01532829 	 small finch originally of the western United States and Mexico
n01534433 	 small North American finch seen chiefly in winter
n01537544 	 small deep blue North American bunting
n01558993 	 large American thrush having a rust-red breast and abdomen
n01560419 	 nightingale spoken of in Persian poetry
n01580077 	 crested largely blue bird
n01582220 	 long-tailed black-and-white crow that utters a raucous chattering call
n01592084 	 any of various small grey-and-black songbirds of North America
n01601694 	 small stocky diving bird without webbed feet
n01608432 	 any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals
n01614925 	 a large eagle of North America that has a white head and dark wings and body
n01616318 	 any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
n01622779 	 large dish-faced owl of northern North America and western Eurasia
n01629819 	 a kind of European salamander
n01630670 	 small semiaquatic salamander
n01631663 	 a newt in its terrestrial stage of development
n01632458 	 glossy black North American salamander with yellow spots
n01632777 	 larval salamander of mountain lakes of Mexico that usually lives without metamorphosing
n01641577 	 largest North American frog
n01644373 	 any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes
n01644900 	 western North American frog with a taillike copulatory organ
n01664065 	 very large carnivorous sea turtle
n01665541 	 wide-ranging marine turtle with flexible leathery carapace
n01667114 	 bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America
n01667778 	 any of various edible North American web-footed turtles living in fresh or brackish water
n01669191 	 chiefly terrestrial turtle of North America
n01675722 	 any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids
n01677366 	 large herbivorous tropical American arboreal lizards with a spiny crest along the back
n01682714 	 small arboreal tropical American insectivorous lizards with the ability to change skin color
n01685808 	 any of numerous very agile and alert New World lizards
n01687978 	 small terrestrial lizard of warm regions of the Old World
n01688243 	 large arboreal insectivorous Australian lizard with a ruff of skin around the neck
n01689811 	 slim short-limbed lizard having a distinctive fold on each side that permits expansion
n01692333 	 large orange and black lizard of southwestern United States
n01693334 	 a common Eurasian lizard about a foot long
n01694178 	 a chameleon found in Africa
n01695060 	 the largest lizard in the world (10 feet)
n01697457 	 a dangerous crocodile widely distributed in Africa
n01698640 	 large alligator of the southeastern United States
n01704323 	 huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill
n01728572 	 small reddish wormlike snake of eastern United States
n01728920 	 any of numerous small nonvenomous North American snakes with a yellow or orange ring around the neck
